locus_tag	ftype	length_bp	gene	EC_number	COG	product
Shinsuense_00045	CDS	777	prr_1	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
Shinsuense_00046	gene	780	prr_2			
Shinsuense_00046	CDS	780	prr_2	1.2.1.19		Gamma-aminobutyraldehyde dehydrogenase
Shinsuense_00047	gene	516				
Shinsuense_00047	CDS	516				hypothetical protein
Shinsuense_00048	gene	1356				
Shinsuense_00048	CDS	1356		2.6.1.-	COG0161	putative aminotransferase
Shinsuense_00049	gene	831				
Shinsuense_00049	CDS	831			COG2141	putative protein
Shinsuense_00050	gene	567				
Shinsuense_00050	CDS	567			COG1309	putative HTH-type transcriptional regulator
Shinsuense_00051	gene	846				
Shinsuense_00051	CDS	846				hypothetical protein
Shinsuense_00052	gene	429				
Shinsuense_00052	CDS	429				hypothetical protein
Shinsuense_00053	gene	429				
Shinsuense_00053	CDS	429				hypothetical protein
Shinsuense_00054	gene	1158				
Shinsuense_00054	CDS	1158				hypothetical protein
Shinsuense_00055	gene	1428	nylA			
Shinsuense_00055	CDS	1428	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
Shinsuense_00056	gene	1566	plcB_1			
Shinsuense_00056	CDS	1566	plcB_1	3.1.4.3	COG3511	Phospholipase C 2
Shinsuense_00057	gene	195				
Shinsuense_00057	CDS	195				hypothetical protein
Shinsuense_00058	gene	1101				
Shinsuense_00058	CDS	1101				hypothetical protein
Shinsuense_00059	gene	276				
Shinsuense_00059	CDS	276				hypothetical protein
Shinsuense_00060	gene	2748				
Shinsuense_00060	CDS	2748				hypothetical protein
Shinsuense_00061	gene	402				
Shinsuense_00061	CDS	402				hypothetical protein
Shinsuense_00062	gene	798				
Shinsuense_00062	CDS	798				hypothetical protein
Shinsuense_00063	gene	690				
Shinsuense_00063	CDS	690				hypothetical protein
Shinsuense_00064	gene	198	esxN_1			
Shinsuense_00064	CDS	198	esxN_1			ESAT-6-like protein EsxN
Shinsuense_00065	gene	1101				
Shinsuense_00065	CDS	1101				hypothetical protein
Shinsuense_00066	gene	567				
Shinsuense_00066	CDS	567				hypothetical protein
Shinsuense_00067	gene	420				
Shinsuense_00067	CDS	420				hypothetical protein
Shinsuense_00068	gene	618				
Shinsuense_00068	CDS	618				hypothetical protein
Shinsuense_00069	gene	429				
Shinsuense_00069	CDS	429				hypothetical protein
Shinsuense_00070	gene	75				
Shinsuense_00070	tRNA	75				tRNA-Met(cat)
Shinsuense_00071	gene	852				
Shinsuense_00071	CDS	852				hypothetical protein
Shinsuense_00072	gene	468				
Shinsuense_00072	CDS	468				hypothetical protein
Shinsuense_00073	gene	552				
Shinsuense_00073	CDS	552				hypothetical protein
Shinsuense_00074	gene	1779	kdpB_1			
Shinsuense_00074	CDS	1779	kdpB_1	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
Shinsuense_00075	gene	861	yloB			
Shinsuense_00075	CDS	861	yloB	7.2.2.10	COG0474	Calcium-transporting ATPase
Shinsuense_00076	gene	303				
Shinsuense_00076	CDS	303				hypothetical protein
Shinsuense_00077	gene	774				
Shinsuense_00077	CDS	774				hypothetical protein
Shinsuense_00078	gene	855				
Shinsuense_00078	CDS	855			COG2128	putative protein
Shinsuense_00079	gene	1374				
Shinsuense_00079	CDS	1374				hypothetical protein
Shinsuense_00080	gene	1518	tldD			
Shinsuense_00080	CDS	1518	tldD	3.4.-.-	COG0312	Metalloprotease TldD
Shinsuense_00081	gene	873	melD_1			
Shinsuense_00081	CDS	873	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
Shinsuense_00082	gene	840	araQ_1			
Shinsuense_00082	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
Shinsuense_00083	gene	1329				
Shinsuense_00083	CDS	1329				hypothetical protein
Shinsuense_00084	gene	873				
Shinsuense_00084	CDS	873			COG0589	Universal stress protein
Shinsuense_00085	gene	1470	yhdG_1			
Shinsuense_00085	CDS	1470	yhdG_1		COG0531	putative amino acid permease YhdG
Shinsuense_00086	gene	1245	rocD			
Shinsuense_00086	CDS	1245	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
Shinsuense_00087	gene	876				
Shinsuense_00087	CDS	876		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
Shinsuense_00088	gene	453	asnC_1			
Shinsuense_00088	CDS	453	asnC_1		COG1522	Regulatory protein AsnC
Shinsuense_00089	gene	861				
Shinsuense_00089	CDS	861			COG0619	putative protein
Shinsuense_00090	gene	1995				
Shinsuense_00090	CDS	1995			COG1122	putative ABC transporter ATP-binding protein
Shinsuense_00091	gene	477				
Shinsuense_00091	CDS	477				hypothetical protein
Shinsuense_00092	gene	2568	btuD_1			
Shinsuense_00092	CDS	2568	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Shinsuense_00093	gene	1161				
Shinsuense_00093	CDS	1161				hypothetical protein
Shinsuense_00094	gene	753				
Shinsuense_00094	CDS	753				hypothetical protein
Shinsuense_00095	gene	1944				
Shinsuense_00095	CDS	1944				hypothetical protein
Shinsuense_00096	gene	1467	rebH			
Shinsuense_00096	CDS	1467	rebH	1.14.19.9		Flavin-dependent tryptophan halogenase RebH
Shinsuense_00097	gene	6876	dltA_1			
Shinsuense_00097	CDS	6876	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
Shinsuense_00098	gene	2667	tycC			
Shinsuense_00098	CDS	2667	tycC			Tyrocidine synthase 3
Shinsuense_00099	gene	513	rbmH			
Shinsuense_00099	CDS	513	rbmH	1.5.1.30		Flavin reductase (NADPH)
Shinsuense_00100	gene	675	COQ5_1			
Shinsuense_00100	CDS	675	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
Shinsuense_00101	gene	108				
Shinsuense_00101	CDS	108				hypothetical protein
Shinsuense_00102	gene	498	narK_1			
Shinsuense_00102	CDS	498	narK_1		COG2223	Nitrate/nitrite transporter NarK
Shinsuense_00103	gene	1029	narK_2			
Shinsuense_00103	CDS	1029	narK_2		COG2223	Nitrate/nitrite transporter NarK
Shinsuense_00104	gene	504	lppP			
Shinsuense_00104	CDS	504	lppP			Putative lipoprotein LppP
Shinsuense_00105	gene	4224	napA			
Shinsuense_00105	CDS	4224	napA	1.9.6.1		Periplasmic nitrate reductase
Shinsuense_00106	gene	1392				
Shinsuense_00106	CDS	1392			COG2114	putative protein
Shinsuense_00107	gene	267				
Shinsuense_00107	CDS	267				hypothetical protein
Shinsuense_00108	gene	459	PPE2_1			
Shinsuense_00108	CDS	459	PPE2_1		COG5651	putative PPE family protein PPE2
Shinsuense_00109	gene	930				
Shinsuense_00109	CDS	930				putative PPE family protein PPE47/PPE48
Shinsuense_00110	gene	657	stp_1			
Shinsuense_00110	CDS	657	stp_1			Multidrug resistance protein Stp
Shinsuense_00111	gene	612	mdtD_1			
Shinsuense_00111	CDS	612	mdtD_1			Putative multidrug resistance protein MdtD
Shinsuense_00112	gene	1647	mez			
Shinsuense_00112	CDS	1647	mez	1.1.1.38	COG0281	Putative malate oxidoreductase [NAD]
Shinsuense_00113	gene	417				
Shinsuense_00113	CDS	417				hypothetical protein
Shinsuense_00114	gene	933	cysK1			
Shinsuense_00114	CDS	933	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
Shinsuense_00115	gene	687	cysE			
Shinsuense_00115	CDS	687	cysE	2.3.1.30	COG1045	Serine acetyltransferase
Shinsuense_00116	gene	429				
Shinsuense_00116	CDS	429				hypothetical protein
Shinsuense_00117	gene	453				
Shinsuense_00117	CDS	453				hypothetical protein
Shinsuense_00118	gene	76				
Shinsuense_00118	tRNA	76				tRNA-Asn(gtt)
Shinsuense_00119	gene	246				
Shinsuense_00119	CDS	246				hypothetical protein
Shinsuense_00120	gene	1971	dnaG			
Shinsuense_00120	CDS	1971	dnaG	2.7.7.-	COG0358	DNA primase
Shinsuense_00121	gene	1371	dgt			
Shinsuense_00121	CDS	1371	dgt		COG0232	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
Shinsuense_00122	gene	252				
Shinsuense_00122	CDS	252				hypothetical protein
Shinsuense_00123	gene	1731				
Shinsuense_00123	CDS	1731				hypothetical protein
Shinsuense_00124	gene	285	esxN_2			
Shinsuense_00124	CDS	285	esxN_2			ESAT-6-like protein EsxN
Shinsuense_00125	gene	297	esxP_1			
Shinsuense_00125	CDS	297	esxP_1			ESAT-6-like protein EsxP
Shinsuense_00126	gene	318				
Shinsuense_00126	CDS	318				hypothetical protein
Shinsuense_00127	gene	345				
Shinsuense_00127	CDS	345				hypothetical protein
Shinsuense_00128	gene	699	plcC			
Shinsuense_00128	CDS	699	plcC	3.1.4.3	COG3511	Phospholipase C 3
Shinsuense_00129	gene	1113				
Shinsuense_00129	CDS	1113				putative PPE family protein PPE40
Shinsuense_00130	gene	1392	glyQS			
Shinsuense_00130	CDS	1392	glyQS	6.1.1.14	COG0423	Glycine--tRNA ligase
Shinsuense_00131	gene	396	smtB_1			
Shinsuense_00131	CDS	396	smtB_1		COG0640	HTH-type transcriptional repressor SmtB
Shinsuense_00132	gene	414	zur			
Shinsuense_00132	CDS	414	zur		COG0735	Zinc uptake regulation protein
Shinsuense_00133	gene	441				
Shinsuense_00133	CDS	441				hypothetical protein
Shinsuense_00134	gene	891	uppS_1			
Shinsuense_00134	CDS	891	uppS_1	2.5.1.86	COG0020	Decaprenyl diphosphate synthase
Shinsuense_00135	gene	798	recO			
Shinsuense_00135	CDS	798	recO			DNA repair protein RecO
Shinsuense_00136	gene	1500	amiA2			
Shinsuense_00136	CDS	1500	amiA2	3.5.1.4	COG0154	Putative amidase AmiA2
Shinsuense_00137	gene	903	era			
Shinsuense_00137	CDS	903	era		COG1159	GTPase Era
Shinsuense_00138	gene	207				
Shinsuense_00138	CDS	207				hypothetical protein
Shinsuense_00139	gene	1323				
Shinsuense_00139	CDS	1323				hypothetical protein
Shinsuense_00140	gene	537	ybeY			
Shinsuense_00140	CDS	537	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
Shinsuense_00141	gene	1059				
Shinsuense_00141	CDS	1059			COG1702	PhoH-like protein
Shinsuense_00142	gene	723				
Shinsuense_00142	CDS	723				hypothetical protein
Shinsuense_00143	gene	897	aidA_1			
Shinsuense_00143	CDS	897	aidA_1			Quorum-quenching protein AidA
Shinsuense_00144	gene	645				
Shinsuense_00144	CDS	645				hypothetical protein
Shinsuense_00145	gene	762	rsmE			
Shinsuense_00145	CDS	762	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
Shinsuense_00146	gene	1137	dnaJ2			
Shinsuense_00146	CDS	1137	dnaJ2		COG0484	Chaperone protein DnaJ 2
Shinsuense_00147	gene	1032	hrcA			
Shinsuense_00147	CDS	1032	hrcA		COG1420	Heat-inducible transcription repressor HrcA
Shinsuense_00148	gene	315				
Shinsuense_00148	CDS	315				hypothetical protein
Shinsuense_00149	gene	600				
Shinsuense_00149	CDS	600				hypothetical protein
Shinsuense_00150	gene	900	sigJ_1			
Shinsuense_00150	CDS	900	sigJ_1			ECF RNA polymerase sigma factor SigJ
Shinsuense_00151	gene	510				
Shinsuense_00151	CDS	510				Low molecular weight antigen MTB12
Shinsuense_00152	gene	3492	mbtB_1			
Shinsuense_00152	CDS	3492	mbtB_1	6.3.2.-	COG1020	Phenyloxazoline synthase MbtB
Shinsuense_00153	gene	4539	srfAB_1			
Shinsuense_00153	CDS	4539	srfAB_1			Surfactin synthase subunit 2
Shinsuense_00154	gene	5013	dhbF_1			
Shinsuense_00154	CDS	5013	dhbF_1		COG1020	Dimodular nonribosomal peptide synthase
Shinsuense_00155	gene	606	iucB			
Shinsuense_00155	CDS	606	iucB	2.3.1.102		N(6)-hydroxylysine O-acetyltransferase
Shinsuense_00156	gene	759	mbtB_2			
Shinsuense_00156	CDS	759	mbtB_2	6.3.2.-	COG1020	Phenyloxazoline synthase MbtB
Shinsuense_00157	gene	1320				
Shinsuense_00157	CDS	1320				Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks15
Shinsuense_00158	gene	3075	pikAI			
Shinsuense_00158	CDS	3075	pikAI	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2
Shinsuense_00159	gene	216	mbtH_1			
Shinsuense_00159	CDS	216	mbtH_1		COG3251	Protein MbtH
Shinsuense_00160	gene	1305	mbtG			
Shinsuense_00160	CDS	1305	mbtG	1.14.13.59		L-lysine N6-monooxygenase MbtG
Shinsuense_00161	gene	102				
Shinsuense_00161	CDS	102				hypothetical protein
Shinsuense_00162	gene	1653	mbtA			
Shinsuense_00162	CDS	1653	mbtA	6.2.1.-	COG1021	Salicyl-AMP ligase / salicyl-S-ArCP synthetase
Shinsuense_00163	gene	996	aes_1			
Shinsuense_00163	CDS	996	aes_1	3.1.1.-		Acetyl esterase
Shinsuense_00164	gene	861	ephD_1			
Shinsuense_00164	CDS	861	ephD_1	1.-.-.-	COG1028	putative oxidoreductase EphD
Shinsuense_00165	gene	870				
Shinsuense_00165	CDS	870				hypothetical protein
Shinsuense_00166	gene	1506				
Shinsuense_00166	CDS	1506		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
Shinsuense_00167	gene	963				
Shinsuense_00167	CDS	963				hypothetical protein
Shinsuense_00168	gene	1017	desA1_1			
Shinsuense_00168	CDS	1017	desA1_1	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA1
Shinsuense_00169	gene	492				
Shinsuense_00169	CDS	492				Dormancy associated translation inhibitor
Shinsuense_00170	gene	234				
Shinsuense_00170	CDS	234				Dormancy associated translation inhibitor
Shinsuense_00171	gene	1362	mbtI			
Shinsuense_00171	CDS	1362	mbtI	5.4.99.5	COG0147	Salicylate synthase
Shinsuense_00172	gene	162				
Shinsuense_00172	CDS	162				hypothetical protein
Shinsuense_00173	gene	210				
Shinsuense_00173	CDS	210				putative proteinA/RVBD_2386A
Shinsuense_00174	gene	1236				
Shinsuense_00174	CDS	1236				hypothetical protein
Shinsuense_00175	gene	1314	hemW			
Shinsuense_00175	CDS	1314	hemW		COG0635	Heme chaperone HemW
Shinsuense_00176	gene	1668	sir_1			
Shinsuense_00176	CDS	1668	sir_1	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
Shinsuense_00177	gene	750	cysH_1			
Shinsuense_00177	CDS	750	cysH_1	1.8.4.8	COG0175	putative phosphoadenosine phosphosulfate reductase
Shinsuense_00178	gene	627	cbiX_1			
Shinsuense_00178	CDS	627	cbiX_1	4.99.1.3	COG2138	Sirohydrochlorin cobaltochelatase
Shinsuense_00179	gene	1941	ggt			
Shinsuense_00179	CDS	1941	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
Shinsuense_00180	gene	2004				
Shinsuense_00180	CDS	2004				hypothetical protein
Shinsuense_00181	gene	1110	cysA			
Shinsuense_00181	CDS	1110	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
Shinsuense_00182	gene	819	cysW_1			
Shinsuense_00182	CDS	819	cysW_1		COG4208	Sulfate transport system permease protein CysW
Shinsuense_00183	gene	903				
Shinsuense_00183	CDS	903				hypothetical protein
Shinsuense_00184	gene	1050	sbpA			
Shinsuense_00184	CDS	1050	sbpA		COG1613	Sulfate-binding protein
Shinsuense_00185	gene	369				
Shinsuense_00185	CDS	369				hypothetical protein
Shinsuense_00186	gene	1182	oxyE_1			
Shinsuense_00186	CDS	1182	oxyE_1	1.14.13.232		6-methylpretetramide 4-monooxygenase
Shinsuense_00187	gene	2070				
Shinsuense_00187	CDS	2070		3.2.1.28	COG3387	Trehalase
Shinsuense_00188	gene	774				
Shinsuense_00188	CDS	774				hypothetical protein
Shinsuense_00189	gene	744				
Shinsuense_00189	CDS	744				hypothetical protein
Shinsuense_00190	gene	1917	lepA			
Shinsuense_00190	CDS	1917	lepA	3.6.5.-	COG0481	Elongation factor 4
Shinsuense_00191	gene	657				
Shinsuense_00191	CDS	657				hypothetical protein
Shinsuense_00192	gene	429				
Shinsuense_00192	CDS	429		2.7.7.-		A-adding tRNA nucleotidyltransferase
Shinsuense_00193	gene	840	rbn_1			
Shinsuense_00193	CDS	840	rbn_1	3.1.-.-	COG1234	Ribonuclease BN
Shinsuense_00194	gene	1596				
Shinsuense_00194	CDS	1596				hypothetical protein
Shinsuense_00195	gene	399				
Shinsuense_00195	CDS	399				hypothetical protein
Shinsuense_00196	gene	465				
Shinsuense_00196	CDS	465				hypothetical protein
Shinsuense_00197	gene	147				
Shinsuense_00197	CDS	147				hypothetical protein
Shinsuense_00198	gene	978				
Shinsuense_00198	CDS	978			COG2307	putative protein
Shinsuense_00199	gene	1674				
Shinsuense_00199	CDS	1674			COG2308	putative protein
Shinsuense_00200	gene	264	rpsT			
Shinsuense_00200	CDS	264	rpsT		COG0268	30S ribosomal protein S20
Shinsuense_00201	gene	978				
Shinsuense_00201	CDS	978				hypothetical protein
Shinsuense_00202	gene	768				
Shinsuense_00202	CDS	768				hypothetical protein
Shinsuense_00203	gene	180				
Shinsuense_00203	CDS	180				hypothetical protein
Shinsuense_00204	gene	612				
Shinsuense_00204	CDS	612				hypothetical protein
Shinsuense_00205	gene	876				
Shinsuense_00205	CDS	876				hypothetical protein
Shinsuense_00206	gene	1167				
Shinsuense_00206	CDS	1167		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
Shinsuense_00207	gene	1119	acdA_1			
Shinsuense_00207	CDS	1119	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
Shinsuense_00208	gene	1101				
Shinsuense_00208	CDS	1101				hypothetical protein
Shinsuense_00209	gene	1272	eis_1			
Shinsuense_00209	CDS	1272	eis_1	2.3.1.-	COG4552	N-acetyltransferase Eis
Shinsuense_00210	gene	1050				
Shinsuense_00210	CDS	1050				hypothetical protein
Shinsuense_00211	gene	777				
Shinsuense_00211	CDS	777				hypothetical protein
Shinsuense_00212	gene	444	mmpS5_1			
Shinsuense_00212	CDS	444	mmpS5_1			Siderophore export accessory protein MmpS5
Shinsuense_00213	gene	2922	mmpL4_1			
Shinsuense_00213	CDS	2922	mmpL4_1		COG2409	Siderophore exporter MmpL4
Shinsuense_00214	gene	846				
Shinsuense_00214	CDS	846			COG1307	DegV domain-containing protein
Shinsuense_00215	gene	756	octT			
Shinsuense_00215	CDS	756	octT	2.3.1.273		Diglucosylglycerate octanoyltransferase
Shinsuense_00216	gene	675	gpgP			
Shinsuense_00216	CDS	675	gpgP	3.1.3.85	COG0406	Glucosyl-3-phosphoglycerate phosphatase
Shinsuense_00217	gene	390	rsfS			
Shinsuense_00217	CDS	390	rsfS		COG0799	Ribosomal silencing factor RsfS
Shinsuense_00218	gene	648	nadD			
Shinsuense_00218	CDS	648	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
Shinsuense_00219	gene	135				
Shinsuense_00219	CDS	135				hypothetical protein
Shinsuense_00220	gene	906				
Shinsuense_00220	CDS	906				hypothetical protein
Shinsuense_00221	gene	1440				
Shinsuense_00221	CDS	1440				hypothetical protein
Shinsuense_00222	gene	876				
Shinsuense_00222	CDS	876				hypothetical protein
Shinsuense_00223	gene	1218	proA			
Shinsuense_00223	CDS	1218	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
Shinsuense_00224	gene	1395				
Shinsuense_00224	CDS	1395				hypothetical protein
Shinsuense_00225	gene	2193				
Shinsuense_00225	CDS	2193				hypothetical protein
Shinsuense_00226	gene	1401				
Shinsuense_00226	CDS	1401				hypothetical protein
Shinsuense_00227	gene	1302				
Shinsuense_00227	CDS	1302				hypothetical protein
Shinsuense_00228	gene	936				
Shinsuense_00228	CDS	936				hypothetical protein
Shinsuense_00229	gene	1131				
Shinsuense_00229	CDS	1131				hypothetical protein
Shinsuense_00230	gene	216				
Shinsuense_00230	CDS	216				hypothetical protein
Shinsuense_00231	gene	168				
Shinsuense_00231	CDS	168				hypothetical protein
Shinsuense_00232	gene	432				
Shinsuense_00232	CDS	432				hypothetical protein
Shinsuense_00233	gene	2043	nadE_1			
Shinsuense_00233	CDS	2043	nadE_1	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
Shinsuense_00234	gene	870	cobB_1			
Shinsuense_00234	CDS	870	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacetylase
Shinsuense_00235	gene	1389				
Shinsuense_00235	CDS	1389		1.14.15.14	COG2124	Methyl-branched lipid omega-hydroxylase
Shinsuense_00236	gene	639				
Shinsuense_00236	CDS	639				hypothetical protein
Shinsuense_00237	gene	678				
Shinsuense_00237	CDS	678				hypothetical protein
Shinsuense_00238	gene	939				
Shinsuense_00238	CDS	939				hypothetical protein
Shinsuense_00239	gene	1488				
Shinsuense_00239	CDS	1488				hypothetical protein
Shinsuense_00240	gene	444				
Shinsuense_00240	CDS	444				hypothetical protein
Shinsuense_00241	gene	1455				
Shinsuense_00241	CDS	1455				hypothetical protein
Shinsuense_00242	gene	1107	proB			
Shinsuense_00242	CDS	1107	proB	2.7.2.11	COG0263	Glutamate 5-kinase
Shinsuense_00243	gene	1440	obg			
Shinsuense_00243	CDS	1440	obg	3.6.5.-	COG0536	GTPase Obg
Shinsuense_00244	gene	267	rpmA			
Shinsuense_00244	CDS	267	rpmA		COG0211	50S ribosomal protein L27
Shinsuense_00245	gene	312	rplU			
Shinsuense_00245	CDS	312	rplU		COG0261	50S ribosomal protein L21
Shinsuense_00246	gene	3048	rne			
Shinsuense_00246	CDS	3048	rne	3.1.26.12		Ribonuclease E
Shinsuense_00247	gene	411	ndkA			
Shinsuense_00247	CDS	411	ndkA	2.7.4.6	COG0105	Nucleoside diphosphate kinase
Shinsuense_00248	gene	405				
Shinsuense_00248	CDS	405				hypothetical protein
Shinsuense_00249	gene	1455	folC			
Shinsuense_00249	CDS	1455	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
Shinsuense_00250	gene	2601	valS			
Shinsuense_00250	CDS	2601	valS	6.1.1.9	COG0525	Valine--tRNA ligase
Shinsuense_00251	gene	624				
Shinsuense_00251	CDS	624				hypothetical protein
Shinsuense_00252	gene	597				
Shinsuense_00252	CDS	597				hypothetical protein
Shinsuense_00253	gene	1257				
Shinsuense_00253	CDS	1257		1.3.1.-	COG3268	Putative trans-acting enoyl reductase
Shinsuense_00254	gene	732	rpfE			
Shinsuense_00254	CDS	732	rpfE	3.-.-.-		Resuscitation-promoting factor RpfE
Shinsuense_00255	gene	606	mobA			
Shinsuense_00255	CDS	606	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
Shinsuense_00256	gene	1092	korB			
Shinsuense_00256	CDS	1092	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
Shinsuense_00257	gene	1962	korA			
Shinsuense_00257	CDS	1962	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
Shinsuense_00258	gene	1299				
Shinsuense_00258	CDS	1299				putative MFS-type transporter
Shinsuense_00259	gene	1281	clpX			
Shinsuense_00259	CDS	1281	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
Shinsuense_00260	gene	1665	jefA			
