query	grouping_confidence	location_confidence	orientation_confidence
NODE_118_length_15733_cov_11.249297_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_374_length_2414_cov_16.311083_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_140_length_13746_cov_11.702173_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_2_length_67567_cov_12.308757_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_332_length_3579_cov_12.512850_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1081_length_343_cov_1.052632_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_552_length_473_cov_1.982323_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_47_length_27005_cov_12.310272_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_131_length_14499_cov_12.827000_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_156_length_12513_cov_10.210920_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1097_length_339_cov_1.866412_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_132_length_14374_cov_12.255858_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_23_length_35101_cov_12.663516_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_454_length_1010_cov_12.901393_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_393_length_1839_cov_9.783768_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_211_length_8769_cov_11.755407_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_244_length_7141_cov_14.441676_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_127_length_14758_cov_11.753695_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1192_length_304_cov_8.926509_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_121_length_15565_cov_12.478370_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_9_length_47991_cov_12.006282_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_349_length_3125_cov_11.640748_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_177_length_11442_cov_11.010031_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_20_length_35992_cov_13.079939_pilon_pilon_pilon_pilon	1.0	0.01608609296989089	0.7060818323326662
NODE_98_length_17606_cov_12.535056_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_103_length_17355_cov_12.926901_pilon_pilon_pilon_pilon	1.0	0.004595521407675282	0.8561477401587558
NODE_284_length_5573_cov_11.512918_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_345_length_3300_cov_11.506981_pilon_pilon_pilon_pilon	1.0	0.2153835690968444	0.9264287969687401
NODE_491_length_711_cov_1.938486_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_94_length_17905_cov_11.725264_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_438_length_1155_cov_12.298701_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_615_length_452_cov_20.514667_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_422_length_1363_cov_9.511664_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_163_length_12207_cov_10.794064_pilon_pilon_pilon_pilon	1.0	1.0	0.5166298929476179
NODE_52_length_26259_cov_11.519555_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_7_length_50808_cov_12.718772_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_763_length_409_cov_1.120482_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_86_length_19511_cov_12.800762_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_165_length_12055_cov_12.184254_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_40_length_29033_cov_12.717226_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_424_length_1323_cov_12.296148_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_264_length_6234_cov_12.555953_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_316_length_4479_cov_11.277828_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_182_length_11206_cov_12.572828_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_178_length_11395_cov_10.948843_pilon_pilon_pilon_pilon	1.0	0.0023321453663170135	1.0
NODE_289_length_5324_cov_12.452449_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_50_length_26548_cov_12.816818_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_35_length_29510_cov_11.155744_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_147_length_13287_cov_13.315064_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_239_length_7590_cov_12.499667_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_119_length_15682_cov_11.987760_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_137_length_14041_cov_11.087582_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_228_length_8056_cov_10.408948_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_253_length_6704_cov_12.144711_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_304_length_4808_cov_11.169732_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_196_length_9910_cov_11.511848_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_74_length_21313_cov_11.835986_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_356_length_2960_cov_9.783559_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_198_length_9844_cov_9.417733_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1225_length_179_cov_4.753906_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_426_length_1298_cov_8.599273_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_105_length_16926_cov_11.148733_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_610_length_454_cov_1.485411_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_210_length_8868_cov_11.720055_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_325_length_3795_cov_12.990855_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_723_length_418_cov_5.923754_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_714_length_421_cov_3.848837_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_460_length_933_cov_8.112150_pilon_pilon_pilon_pilon	1.0	0.00022111923848330695	1.0
NODE_236_length_7752_cov_10.040391_pilon_pilon_pilon_pilon	1.0	0.07158614384800366	0.9797334813992227
NODE_459_length_953_cov_3.006849_pilon_pilon_pilon_pilon	1.0	0.04870347718840565	0.9941016475786534
NODE_148_length_13257_cov_12.076555_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_185_length_11054_cov_11.819350_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_411_length_1568_cov_7.737760_pilon_pilon_pilon_pilon	1.0	0.0028266199354637592	1.0
NODE_463_length_917_cov_11.898810_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_82_length_19904_cov_12.852827_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_381_length_2170_cov_9.435738_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_419_length_1377_cov_10.789231_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_350_length_3088_cov_11.970110_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_207_length_9080_cov_11.025769_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_405_length_1629_cov_10.660438_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_473_length_845_cov_14.488281_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_336_length_3501_cov_68.321554_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_15_length_41671_cov_12.751623_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_12_length_46133_cov_12.634684_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_42_length_28842_cov_12.707805_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_184_length_11078_cov_11.738660_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_351_length_3043_cov_11.311194_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_102_length_17370_cov_12.096571_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_129_length_14717_cov_10.786817_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_298_length_4915_cov_11.069037_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1193_length_301_cov_16.214286_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_578_length_466_cov_17.706941_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_358_length_2891_cov_10.714641_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_136_length_14120_cov_11.194047_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_258_length_6445_cov_12.728957_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_230_length_7904_cov_10.250926_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_368_length_2660_cov_12.065041_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_218_length_8458_cov_9.968858_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1190_length_313_cov_8.110169_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_387_length_2032_cov_9.196931_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_497_length_668_cov_2.759729_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_279_length_5696_cov_10.303257_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_444_length_1113_cov_5.475869_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_25_length_33910_cov_12.274200_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_371_length_2530_cov_11.823481_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_57_length_25099_cov_12.198505_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_117_length_15959_cov_10.995026_pilon_pilon_pilon_pilon	1.0	0.9407535060613264	0.9968416398206051
NODE_122_length_15480_cov_10.679088_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_106_length_16923_cov_11.708061_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_97_length_17626_cov_35.428287_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_204_length_9520_cov_11.722652_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_88_length_19041_cov_25.109840_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_940_length_367_cov_7.024138_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_362_length_2777_cov_9.158519_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_4_length_63530_cov_12.814177_pilon_pilon_pilon_pilon	1.0	0.0395307017800765	0.722380275011854
NODE_385_length_2095_cov_10.601090_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_322_length_4019_cov_20.387874_pilon_pilon_pilon_pilon	1.0	1.0	0.5246414602346806
NODE_501_length_628_cov_15.045390_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_321_length_4108_cov_22.912677_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_33_length_30156_cov_12.885302_pilon_pilon_pilon_pilon	1.0	0.031048025362196384	0.7253359044538442
NODE_313_length_4592_cov_11.177852_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_222_length_8288_cov_10.985264_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_219_length_8424_cov_11.708159_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_335_length_3535_cov_13.223250_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_546_length_496_cov_5.778360_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_14_length_42118_cov_13.150139_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_32_length_30475_cov_12.226561_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_340_length_3410_cov_12.427843_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_287_length_5351_cov_13.244217_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_457_length_973_cov_12.136161_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_83_length_19724_cov_10.791164_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_45_length_28167_cov_12.280918_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_341_length_3350_cov_13.412160_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_67_length_22153_cov_10.608126_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_386_length_2035_cov_12.030133_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_56_length_25153_cov_11.170003_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_17_length_41156_cov_13.140875_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_363_length_2772_cov_12.631169_pilon_pilon_pilon_pilon	1.0	0.6349323493234932	0.9228981015110422
NODE_252_length_6758_cov_12.897770_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_104_length_17110_cov_10.303235_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_125_length_14908_cov_12.602185_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_967_length_363_cov_7.004545_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_224_length_8151_cov_11.054744_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_226_length_8121_cov_12.257335_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_46_length_27483_cov_12.956177_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_445_length_1105_cov_4.283074_pilon_pilon_pilon_pilon	1.0	0.9738805970149254	0.80970625798212
NODE_273_length_5940_cov_11.560976_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_108_length_16838_cov_13.213591_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1107_length_338_cov_15.712644_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_293_length_5070_cov_12.782495_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_68_length_22018_cov_11.356593_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_87_length_19402_cov_11.402432_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_482_length_809_cov_5.506831_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_220_length_8402_cov_9.453213_pilon_pilon_pilon_pilon	1.0	0.7739745139986978	0.9936305732484076
NODE_200_length_9725_cov_11.185634_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_188_length_10951_cov_12.322788_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_212_length_8753_cov_11.198940_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_315_length_4566_cov_10.437068_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_337_length_3464_cov_6.401831_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1069_length_344_cov_3.617978_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_245_length_7122_cov_10.870546_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_474_length_842_cov_1.381699_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_533_length_537_cov_1.686957_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_471_length_859_cov_8.255754_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_255_length_6599_cov_11.292855_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_1274_length_155_cov_4.987179_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_538_length_524_cov_8.536913_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_308_length_4744_cov_11.998286_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_237_length_7632_cov_13.337128_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_90_length_18687_cov_11.783450_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_144_length_13351_cov_11.735724_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_247_length_7004_cov_12.585391_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_39_length_29147_cov_11.270347_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_216_length_8630_cov_10.096107_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_404_length_1639_cov_10.904609_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_452_length_1031_cov_1.589099_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_30_length_30954_cov_12.923697_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_187_length_11005_cov_12.684297_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_175_length_11612_cov_12.658778_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_191_length_10627_cov_23.525972_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_75_length_21236_cov_12.614868_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_120_length_15567_cov_11.643641_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_415_length_1449_cov_7.417638_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_126_length_14892_cov_12.978535_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_96_length_17721_cov_11.939129_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_22_length_35422_cov_12.571340_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_130_length_14616_cov_11.600935_pilon_pilon_pilon_pilon	1.0	1.0	0.5
NODE_21_length_35702_cov_12.547340_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_201_length_9639_cov_12.489751_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_112_length_16216_cov_11.270215_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_139_length_13829_cov_12.090023_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_70_length_21915_cov_12.305019_pilon_pilon_pilon_pilon	1.0	0.6386654273901478	0.6380288051387565
NODE_58_length_24589_cov_29.302260_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_378_length_2209_cov_10.465291_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_246_length_7096_cov_11.163841_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_456_length_1000_cov_14.131094_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_260_length_6443_cov_11.197455_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_167_length_11941_cov_13.325775_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_420_length_1370_cov_8.575406_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_160_length_12449_cov_11.967669_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_399_length_1712_cov_13.439144_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_259_length_6445_cov_11.502513_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_243_length_7233_cov_11.443125_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_123_length_15062_cov_13.585986_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_181_length_11265_cov_12.537719_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_297_length_4932_cov_10.773635_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_193_length_10560_cov_12.836020_pilon_pilon_pilon_pilon	1.0	0.010824235532676462	1.0
NODE_231_length_7892_cov_12.056814_pilon_pilon_pilon_pilon	1.0	0.20470171435433993	0.5780287474332649
NODE_936_length_368_cov_14.443299_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_706_length_422_cov_34.944928_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_79_length_20614_cov_12.303647_pilon_pilon_pilon_pilon	1.0	0.035367625878324364	0.5814230153283002
NODE_111_length_16280_cov_12.166944_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_286_length_5367_cov_14.363894_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_318_length_4387_cov_10.728074_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_44_length_28704_cov_12.317218_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_373_length_2506_cov_11.430218_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_161_length_12326_cov_11.336272_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_145_length_13343_cov_12.215363_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_466_length_893_cov_5.411340_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_573_length_467_cov_8.053846_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_172_length_11783_cov_21.663250_pilon_pilon_pilon_pilon	1.0	0.41475315729047074	0.6992214532871972
NODE_379_length_2199_cov_20.986805_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_380_length_2193_cov_14.056238_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_115_length_16014_cov_11.822112_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_89_length_18940_cov_11.566824_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_590_length_461_cov_1.153646_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_430_length_1228_cov_5.582103_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_330_length_3715_cov_12.635239_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_431_length_1227_cov_9.980870_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_727_length_417_cov_1.126471_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_168_length_11899_cov_11.335307_pilon_pilon_pilon_pilon	1.0	0.00405336069779374	0.9943080451958203
NODE_451_length_1035_cov_8.040710_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_31_length_30793_cov_11.804337_pilon_pilon_pilon_pilon	1.0	0.5741380286474551	0.570357952864609
NODE_414_length_1493_cov_10.443503_pilon_pilon_pilon_pilon	1.0	1.0	1.0
NODE_146_length_13305_cov_11.939749_pilon_pilon_pilon_pilon	1.0	1.0	1.0
